MB101-0001|Эхэнд Бурхан тэнгэр ба газрыг бүтээжээ.|Эхэнд Бурхан тэнгэр ба газрыг бүтээжээ.
MB101-0002|Тэгэхэд Бурхан —Гэрэл бий болтугай! гэж айлдсанд гэрэл бий болов.|Тэгэхэд Бурхан —Гэрэл бий болтугай! гэж айлдсанд гэрэл бий болов.
MB101-0003|Гэрэл сайн болсныг Бурхан харж, Бурхан гэрлийг харанхуйгаас салгажээ.|Гэрэл сайн болсныг Бурхан харж, Бурхан гэрлийг харанхуйгаас салгажээ.
MB101-0004|Бурхан гэрлийг өдөр гэж нэрлээд, харанхуйг шөнө гэж нэрлэлээ.|Бурхан гэрлийг өдөр гэж нэрлээд, харанхуйг шөнө гэж нэрлэлээ.
MB101-0005|Ийн үдэш болоод, өглөө болсон нь анхны өдөр.|Ийн үдэш болоод, өглөө болсон нь анхны өдөр.
MB101-0006|Бурхан —Усны дундуур огторгуй байж, ийнхүү усыг уснаас салгатугай! гэж айлдав.|Бурхан —Усны дундуур огторгуй байж, ийнхүү усыг уснаас салгатугай! гэж айлдав.
MB101-0007|Бурхан ингэж огторгуйг бий болгоод, огторгуйн дээрх уснаас огторгуйн доорх усыг салгасанд ёсоор болов.|Бурхан ингэж огторгуйг бий болгоод, огторгуйн дээрх уснаас огторгуйн доорх усыг салгасанд ёсоор болов.
MB101-0008|Бурхан огторгуйг тэнгэр гэж нэрлэжээ.|Бурхан огторгуйг тэнгэр гэж нэрлэжээ.
MB101-0009|Үдэш болоод, өглөө болсон нь хоёр дахь өдөр.|Үдэш болоод, өглөө болсон нь хоёр дахь өдөр.
MB101-0010|Бурхан —Тэнгэрийн доорх ус нэг дор хуримтлагдаж, ийн хуурай газар ил гартугай! гэсэнд ёсоор болжээ.|Бурхан —Тэнгэрийн доорх ус нэг дор хуримтлагдаж, ийн хуурай газар ил гартугай! гэсэнд ёсоор болжээ.
MB101-0011|Бурхан хуурайг нь газар, хуримтлагдсан усыг нь далай гэж нэрлэв.|Бурхан хуурайг нь газар, хуримтлагдсан усыг нь далай гэж нэрлэв.
MB101-0012|Эдгээр нь сайн болсныг Бурхан харлаа.|Эдгээр нь сайн болсныг Бурхан харлаа.
MB101-0013|Газар нь ийнхүү ургамал ногоог буюу үрлэгч өвс ногоо, доторх үрээ газарт гөвдөг үр жимст модыг төрөл төрлөөр нь гаргав.|Газар нь ийнхүү ургамал ногоог буюу үрлэгч өвс ногоо, доторх үрээ газарт гөвдөг үр жимст модыг төрөл төрлөөр нь гаргав.
MB101-0014|Эдгээр нь сайн болсныг Бурхан харлаа.|Эдгээр нь сайн болсныг Бурхан харлаа.
MB101-0015|Үдэш болоод, өглөө болсон нь гурав дахь өдөр.|Үдэш болоод, өглөө болсон нь гурав дахь өдөр.
MB101-0016|Тэгээд Бурхан —Өдрийг шөнөөс салгахын тулд тэнгэр огторгуйд гэрэлтүүлэгчид байх болтугай!|Тэгээд Бурхан —Өдрийг шөнөөс салгахын тулд тэнгэр огторгуйд гэрэлтүүлэгчид байх болтугай!
MB101-0017|Эдгээр нь тэмдэг, улирал, өдөр, жилийн тулд байг.|Эдгээр нь тэмдэг, улирал, өдөр, жилийн тулд байг.
MB101-0018|Тэнгэр огторгуйд гэрэлтүүлэгчид байж газар дэлхийг гийгүүлэг! гэж айлдсанд ёсоор болжээ.|Тэнгэр огторгуйд гэрэлтүүлэгчид байж газар дэлхийг гийгүүлэг! гэж айлдсанд ёсоор болжээ.
MB101-0019|Эдгээр нь сайн болсныг Бурхан харлаа.|Эдгээр нь сайн болсныг Бурхан харлаа.
MB101-0020|Үдэш болоод, өглөө болсон нь дөрөв дэх өдөр.|Үдэш болоод, өглөө болсон нь дөрөв дэх өдөр.
MB101-0021|Эдгээр нь сайн болсныг Бурхан харлаа.|Эдгээр нь сайн болсныг Бурхан харлаа.
MB101-0022|Бурхан тэднийг ерөөн —Үржиж, олширцгоог! Далай тэнгисийн усанд дүүрцгээг! Шувууд ч газар дэлхийд олширцгоог! хэмээв.|Бурхан тэднийг ерөөн —Үржиж, олширцгоог! Далай тэнгисийн усанд дүүрцгээг! Шувууд ч газар дэлхийд олширцгоог! хэмээв.
MB101-0023|Үдэш болоод, өглөө болсон нь тав дахь өдөр.|Үдэш болоод, өглөө болсон нь тав дахь өдөр.
MB101-0024|Бурхан ийнхүү газрын зэрлэг амьтдыг төрөл төрлөөр нь, мал адгуусыг төрөл төрлөөр нь, газраар мөлхөгч бүгдийг төрөл төрлөөр нь бий болгов.|Бурхан ийнхүү газрын зэрлэг амьтдыг төрөл төрлөөр нь, мал адгуусыг төрөл төрлөөр нь, газраар мөлхөгч бүгдийг төрөл төрлөөр нь бий болгов.
MB101-0025|Эдгээр нь сайн болсныг Бурхан харлаа.|Эдгээр нь сайн болсныг Бурхан харлаа.
MB101-0026|Тэгээд Бурхан —Бид дүр төрхийнхөө дагуу бидэнтэй адилхан хүнийг буй болгоё.|Тэгээд Бурхан —Бид дүр төрхийнхөө дагуу бидэнтэй адилхан хүнийг буй болгоё.
MB101-0027|Ийнхүү Бурхан Өөрийнхөө дүр төрхөөр хүнийг бүтээж, Бурханы дүр төрхөөр бүтээхдээ эр эмээр нь бүтээжээ.|Ийнхүү Бурхан Өөрийнхөө дүр төрхөөр хүнийг бүтээж, Бурханы дүр төрхөөр бүтээхдээ эр эмээр нь бүтээжээ.
MB101-0028|Бурхан —Үзэгтүн, газрын гадарга дээрх үрт өвс ногоо бүрийг, үрээ гөвдөг үр жимст мод бүгдийг Би та нарт өгнө.|Бурхан —Үзэгтүн, газрын гадарга дээрх үрт өвс ногоо бүрийг, үрээ гөвдөг үр жимст мод бүгдийг Би та нарт өгнө.
MB101-0029|Тэр бүхэн та нарын хоол хүнс болно.|Тэр бүхэн та нарын хоол хүнс болно.
MB101-0030|Өөрийнх нь буй болгосон бүгд нэн сайн болсныг Бурхан харлаа.|Өөрийнх нь буй болгосон бүгд нэн сайн болсныг Бурхан харлаа.
MB101-0031|Үдэш болоод, өглөө болсон нь зургаа дахь өдөр.|Үдэш болоод, өглөө болсон нь зургаа дахь өдөр.
MB102-0001|Тэнгэр газар болон түүний түг түмнийг ийнхүү гүйцээв.|Тэнгэр газар болон түүний түг түмнийг ийнхүү гүйцээв.
MB102-0002|Долоо дахь өдөр гэхэд Бурхан хийж байсан ажилаа гүйцээгээд, хийж байсан бүх ажлаасаа Тэрээр долоо дахь өдөртөө амарчээ.|Долоо дахь өдөр гэхэд Бурхан хийж байсан ажилаа гүйцээгээд, хийж байсан бүх ажлаасаа Тэрээр долоо дахь өдөртөө амарчээ.
MB102-0003|Бүтээж байсан бүх ажлаасаа энэ өдөр амарсан тул Бурхан долоо дахь өдрийг ерөөж ариун болгов.|Бүтээж байсан бүх ажлаасаа энэ өдөр амарсан тул Бурхан долоо дахь өдрийг ерөөж ариун болгов.
MB102-0004|ЭЗЭН Бурхан тэнгэр газрыг буй болгосон уг сурвалж ийм билээ.|ЭЗЭН Бурхан тэнгэр газрыг буй болгосон уг сурвалж ийм билээ.
MB102-0005|Тэгэхэд ЭЗЭН Бурхан газрынж шорооноос хүнийгз урлаад, амин амьсгалыг хамраар нь үлээж оруулахад хүн амьд биет болжээ.|Тэгэхэд ЭЗЭН Бурхан газрынж шорооноос хүнийгз урлаад, амин амьсгалыг хамраар нь үлээж оруулахад хүн амьд биет болжээ.
MB102-0006|ЭЗЭН Бурхан дорно зүгт Еденд цэцэрлэг тариад, урласан хүнээ тэнд авчирч тавьжээ.|ЭЗЭН Бурхан дорно зүгт Еденд цэцэрлэг тариад, урласан хүнээ тэнд авчирч тавьжээ.
MB102-0007|Бас хөрснөөс ЭЗЭН Бурханы ургуулсан янз бүрийн модод нь хараа булаам, хүнсэнд сайн байв.|Бас хөрснөөс ЭЗЭН Бурханы ургуулсан янз бүрийн модод нь хараа булаам, хүнсэнд сайн байв.
MB102-0008|Тэр цэцэрлэгийн гол дунд бас амийн мод хийгээд сайн мууг мэдүүлэгчи мод байжээ.|Тэр цэцэрлэгийн гол дунд бас амийн мод хийгээд сайн мууг мэдүүлэгчи мод байжээ.
MB102-0009|Еденээс гарсан нэгэн мөрөн тэр цэцэрлэгийг усалдаг бөгөөд тэндээс дөрвөн салаа эх авчээ.|Еденээс гарсан нэгэн мөрөн тэр цэцэрлэгийг усалдаг бөгөөд тэндээс дөрвөн салаа эх авчээ.
MB102-0010|Эхнийх нь Пишон гэдэг нэртэй бөгөөд алт байдаг.|Эхнийх нь Пишон гэдэг нэртэй бөгөөд алт байдаг.
MB102-0011|Хавилагийн бүх нутгийг дайран өнгөрнө.|Хавилагийн бүх нутгийг дайран өнгөрнө.
MB102-0012|Тэр нутгийн алт нь шижир, тэнд бидолаах хийгээд судалт гартаам ч байжээ.|Тэр нутгийн алт нь шижир, тэнд бидолаах хийгээд судалт гартаам ч байжээ.
MB102-0013|Хоёр дахь мөрний нэр нь Гихон бөгөөд Кушийн бүх нутгийг дайран өнгөрдөг.|Хоёр дахь мөрний нэр нь Гихон бөгөөд Кушийн бүх нутгийг дайран өнгөрдөг.
MB102-0014|Гурав дахь мөрний нэр нь Тигр бөгөөд Ассирийн зүүн талаар урсдаг.|Гурав дахь мөрний нэр нь Тигр бөгөөд Ассирийн зүүн талаар урсдаг.
MB102-0015|Дөрөв дэх мөрөн нь Евфрат аж.|Дөрөв дэх мөрөн нь Евфрат аж.
MB102-0016|ЭЗЭН Бурхан хүнийг авчирч, Еден цэцэрлэгийг арчлуулан сахиулахаар тэнд суулгав.|ЭЗЭН Бурхан хүнийг авчирч, Еден цэцэрлэгийг арчлуулан сахиулахаар тэнд суулгав.
MB102-0017|Тэгээд ЭЗЭН Бурхан тэр хүнд тушаан —Чи энэ цэцэрлэгийн аль ч модны жимсийг идэж болно.|Тэгээд ЭЗЭН Бурхан тэр хүнд тушаан —Чи энэ цэцэрлэгийн аль ч модны жимсийг идэж болно.
MB102-0018|Харин сайн мууг мэдүүлэгч модны жимснээс идэж болохгүй.|Харин сайн мууг мэдүүлэгч модны жимснээс идэж болохгүй.
MB102-0019|Түүнээс идсэн тэр өдөртөө л чи зайлшгүй үхнэ! гэв.|Түүнээс идсэн тэр өдөртөө л чи зайлшгүй үхнэ! гэв.
MB102-0020|ЭЗЭН Бурхан —Хүн ганцаараа байх нь сайн биш.|ЭЗЭН Бурхан —Хүн ганцаараа байх нь сайн биш.
MB102-0021|Би түүнд тохирох туслагчийг буй болгоё гэжээ.|Би түүнд тохирох туслагчийг буй болгоё гэжээ.
MB102-0022|Ингээд ЭЗЭН Бурхан шороогоор хээрийн бүхий л амьтан, огторгуйн бүхий л шувууг урлаад, тэднийг хэрхэн дуудахыг нь үзэхээр Адамд авчирч өгчээ.|Ингээд ЭЗЭН Бурхан шороогоор хээрийн бүхий л амьтан, огторгуйн бүхий л шувууг урлаад, тэднийг хэрхэн дуудахыг нь үзэхээр Адамд авчирч өгчээ.
MB102-0023|Тэгээд амьд биет бүхнийг Адам хэрхэн дуудсан нь тэдний нэр болов.|Тэгээд амьд биет бүхнийг Адам хэрхэн дуудсан нь тэдний нэр болов.
MB102-0024|Ийнхүү Адам бүх мал адгуус, огторгуйн шувууд, хээрийн бүх амьтанд нэр өгчээ.|Ийнхүү Адам бүх мал адгуус, огторгуйн шувууд, хээрийн бүх амьтанд нэр өгчээ.
MB102-0025|Харин Адамд тохирох туслагч олдсонгүй.|Харин Адамд тохирох туслагч олдсонгүй.
MB102-0026|Иймд ЭЗЭН Бурхан Адамыг гүн нойронд автуулж түүнийг унтуулаад хавиргаас нь нэгийг сугалан авч ормыг нь махаар бөглөжээ.|Иймд ЭЗЭН Бурхан Адамыг гүн нойронд автуулж түүнийг унтуулаад хавиргаас нь нэгийг сугалан авч ормыг нь махаар бөглөжээ.
MB102-0027|ЭЗЭН Бурхан Адамаас авсан тэр хавиргаараа нэгэн эмэгтэйг бүтээгээд, түүнийгээ Адамд авчирч өгөв.|ЭЗЭН Бурхан Адамаас авсан тэр хавиргаараа нэгэн эмэгтэйг бүтээгээд, түүнийгээ Адамд авчирч өгөв.
MB102-0028|Адам —Энэ чинь л яснаас минь авсан яс Махнаас минь авсан мах юм.|Адам —Энэ чинь л яснаас минь авсан яс Махнаас минь авсан мах юм.
MB102-0029|Эр хүнээс авагдсан тул Эм хүн гэж нэрлэгдэг.|Эр хүнээс авагдсан тул Эм хүн гэж нэрлэгдэг.
MB102-0030|Ийм учраас эр хүн эцэг эхээ орхиод, эхнэртэйгээ нийлж, хоёул нэг махбод болдог.|Ийм учраас эр хүн эцэг эхээ орхиод, эхнэртэйгээ нийлж, хоёул нэг махбод болдог.
MB102-0031|Хүн эхнэр хоёр нүцгэн байсан бөгөөд тэд ичсэнгүй.|Хүн эхнэр хоёр нүцгэн байсан бөгөөд тэд ичсэнгүй.
MB103-0001|Тэр эмэгтэй, могойд —Бид энэ цэцэрлэг дэх моддын жимсийг идэж болно оо.|Тэр эмэгтэй, могойд —Бид энэ цэцэрлэг дэх моддын жимсийг идэж болно оо.
MB103-0002|Та нар түүнээс идсэн тэр өдөртөө л нүд чинь нээгдэн, Бурхан шиг болж, сайн мууг мэдэх болно гэдгийг Бурхан мэдэж байгаа гэжээ.|Та нар түүнээс идсэн тэр өдөртөө л нүд чинь нээгдэн, Бурхан шиг болж, сайн мууг мэдэх болно гэдгийг Бурхан мэдэж байгаа гэжээ.
MB103-0003|Тэр хамт байсан нөхөртөө өгч, тэр нь ч идэж.|Тэр хамт байсан нөхөртөө өгч, тэр нь ч идэж.
MB103-0004|Тэгээд тэр хоёрын нүд нээгдэн, хоёулаа нүцгэн байгаагаа мэдээд, инжир модны навчсыг хооронд нь холбож, өөрсдөдөө бэлхэмж хийжээ.|Тэгээд тэр хоёрын нүд нээгдэн, хоёулаа нүцгэн байгаагаа мэдээд, инжир модны навчсыг хооронд нь холбож, өөрсдөдөө бэлхэмж хийжээ.
MB103-0005|Үдшийн сэрүүнд цэцэрлэг дундуур ЭЗЭН Бурханы алхаж яваа чимээг сонсоод, эр хүн эхнэртэйгээ хоёул ЭЗЭН Бурханы оршихуйгаас цэцэрлэгийн модон дунд нуугджээ.|Үдшийн сэрүүнд цэцэрлэг дундуур ЭЗЭН Бурханы алхаж яваа чимээг сонсоод, эр хүн эхнэртэйгээ хоёул ЭЗЭН Бурханы оршихуйгаас цэцэрлэгийн модон дунд нуугджээ.
MB103-0006|Тэгтэл Тэр —Чамайг нүцгэн гэж хэн чамд хэлсэн бэ?|Тэгтэл Тэр —Чамайг нүцгэн гэж хэн чамд хэлсэн бэ?
MB103-0007|Бүү ид гэж Миний чамд тушаасан тэр модны жимснээс чи идээ юү? гэсэнд хүн|Бүү ид гэж Миний чамд тушаасан тэр модны жимснээс чи идээ юү? гэсэнд хүн
MB103-0008|Өнөөх эмэгтэй, надтай хамт байлгахаар Таны надад өгсөн тэр л надад нөгөө модны жимснээс өгсөн.|Өнөөх эмэгтэй, надтай хамт байлгахаар Таны надад өгсөн тэр л надад нөгөө модны жимснээс өгсөн.
MB103-0009|Тэгээд л би идсэн гэж хэлэв.|Тэгээд л би идсэн гэж хэлэв.
MB103-0010|Чи хэвлийгээрээ мөлхөн явж, Амьдралынхаа бүхий л хоногуудад тоос шороо идэх болно.|Чи хэвлийгээрээ мөлхөн явж, Амьдралынхаа бүхий л хоногуудад тоос шороо идэх болно.
MB103-0011|Би тэр эмэгтэй та хоёрын хооронд, Бас чиний үр, тэр эмэгтэйн үрийн хооронд дайсагнал үүсгэнэ.|Би тэр эмэгтэй та хоёрын хооронд, Бас чиний үр, тэр эмэгтэйн үрийн хооронд дайсагнал үүсгэнэ.
MB103-0012|Тэр үр толгойг чинь бяцалж, түүний өсгийг чи няцална|Тэр үр толгойг чинь бяцалж, түүний өсгийг чи няцална
MB103-0013|гээд эмэгтэйд —Өөрийн чинь жирэмсний бэрхшээл зүдүүрийг Би бүр ихэсгэнэ.|гээд эмэгтэйд —Өөрийн чинь жирэмсний бэрхшээл зүдүүрийг Би бүр ихэсгэнэ.
MB103-0014|Өвдөж зовж чи үр хүүхдээ төрүүлнэ.|Өвдөж зовж чи үр хүүхдээ төрүүлнэ.
MB103-0015|Эр нөхрөө чи эрмэлзэнэ, Эр чинь чамайг эзэгнэнэ гэв.|Эр нөхрөө чи эрмэлзэнэ, Эр чинь чамайг эзэгнэнэ гэв.
MB103-0016|Чи түүнээс амьдралынхаа бүхий л өдрүүдэд бэрхшээл зүдүүр дунд хооллох болно.|Чи түүнээс амьдралынхаа бүхий л өдрүүдэд бэрхшээл зүдүүр дунд хооллох болно.
MB103-0017|Чиний төлөө тэрээр өргөс зангууг ч ургуулна.|Чиний төлөө тэрээр өргөс зангууг ч ургуулна.
MB103-0018|Чи хээрийн өвс ногоог ч идэх болно.|Чи хээрийн өвс ногоог ч идэх болно.
MB103-0019|Чи газар шороондоо буцталаа Духныхаа хөлсийг дуслуулан байж хоолоо олж иднэ.|Чи газар шороондоо буцталаа Духныхаа хөлсийг дуслуулан байж хоолоо олж иднэ.
MB103-0020|Учир нь чамайг газар шорооноос авсан.|Учир нь чамайг газар шорооноос авсан.
MB103-0021|Чи тоос шороо тул тоос шороондоо буцна гэжээ.|Чи тоос шороо тул тоос шороондоо буцна гэжээ.
MB103-0022|Хүн эхнэрээ Ева гэж нэрлэжээ.|Хүн эхнэрээ Ева гэж нэрлэжээ.
MB103-0023|Учир нь тэр амьд бүхний эх болсон аж.|Учир нь тэр амьд бүхний эх болсон аж.
MB103-0024|ЭЗЭН Бурхан, Адам ба түүний эхнэрт зориулж арьсан дээл хийж өмсгөжээ.|ЭЗЭН Бурхан, Адам ба түүний эхнэрт зориулж арьсан дээл хийж өмсгөжээ.
MB103-0025|ЭЗЭН Бурхан —Үзэгтүн! Энэ хүн одоо сайн муугс мэдэх талаараа бидний нэгэн адил болсон.|ЭЗЭН Бурхан —Үзэгтүн! Энэ хүн одоо сайн муугс мэдэх талаараа бидний нэгэн адил болсон.
MB103-0026|Тэр одоо гараа сунган амийн модны жимснээс бас авч идээд мөнх наслах вий гэжээ.|Тэр одоо гараа сунган амийн модны жимснээс бас авч идээд мөнх наслах вий гэжээ.
MB103-0027|ЭЗЭН Бурхан хүнийг өөрийг нь гаргаж авсан газар шороог хагалуулахаар Еден цэцэрлэгээс гарган явуулав.|ЭЗЭН Бурхан хүнийг өөрийг нь гаргаж авсан газар шороог хагалуулахаар Еден цэцэрлэгээс гарган явуулав.
MB104-0001|Адам Еватайгаа унтаж, эхнэр нь жирэмслэн Каиныг төрүүлээд —ЭЗЭНий ерөөлөөр би хүүтэй боллоо гэж хэлэв.|Адам Еватайгаа унтаж, эхнэр нь жирэмслэн Каиныг төрүүлээд —ЭЗЭНий ерөөлөөр би хүүтэй боллоо гэж хэлэв.
MB104-0002|Тэгээд Абел мал маллаж, Каин газар эдлэх болов.|Тэгээд Абел мал маллаж, Каин газар эдлэх болов.
MB104-0003|Хожим нь Каин газраас авсан үр жимснээсээ ЭЗЭНд өргөл болгон барьжээ.|Хожим нь Каин газраас авсан үр жимснээсээ ЭЗЭНд өргөл болгон барьжээ.
MB104-0004|Абел бас хонин сүргийнхээ анхны төл болон түүнийхээ өөх тосноос өргөжээ.|Абел бас хонин сүргийнхээ анхны төл болон түүнийхээ өөх тосноос өргөжээ.
MB104-0005|ЭЗЭН Абелыг болон түүний өргөлийг ойшоон хүлээж авсан боловч Каиныг болон түүний өргөлийг ойшоосонгүй.|ЭЗЭН Абелыг болон түүний өргөлийг ойшоон хүлээж авсан боловч Каиныг болон түүний өргөлийг ойшоосонгүй.
MB104-0006|Каин ихэд уурлан, уруу царайлав.|Каин ихэд уурлан, уруу царайлав.
MB104-0007|ЭЗЭН, Каинд —Чи юунд уурлана вэ? Юуны учир уруу царайлна вэ?|ЭЗЭН, Каинд —Чи юунд уурлана вэ? Юуны учир уруу царайлна вэ?
MB104-0008|Хэрэв чи сайныг үйлдвэл тэргүүнээ өргөх биш үү?|Хэрэв чи сайныг үйлдвэл тэргүүнээ өргөх биш үү?
MB104-0009|Хэрэв чи сайныг хийхгүй бол гэм нүгэл үүдэн дээр чинь гэтэн, нүгэл хилэнц чамайг хүсэх болно.|Хэрэв чи сайныг хийхгүй бол гэм нүгэл үүдэн дээр чинь гэтэн, нүгэл хилэнц чамайг хүсэх болно.
MB104-0010|Гэвч чи түүнийг дийлэх ёстой.|Гэвч чи түүнийг дийлэх ёстой.
MB104-0011|Каин дүү Абелтайгаа ярьжээ.|Каин дүү Абелтайгаа ярьжээ.
MB104-0012|Дараа нь хээр талд байхдаа дүү Абел уруугаа дайрч, түүнийг цохиж алав.|Дараа нь хээр талд байхдаа дүү Абел уруугаа дайрч, түүнийг цохиж алав.
MB104-0013|ЭЗЭН —Чи юу хийчихэв ээ? Чиний дүүгийн цус газраас Над өөд хашхирч байна.|ЭЗЭН —Чи юу хийчихэв ээ? Чиний дүүгийн цус газраас Над өөд хашхирч байна.
MB104-0014|Чи газар дэлхийд зайгуул тэнүүлч болно гэв.|Чи газар дэлхийд зайгуул тэнүүлч болно гэв.
MB104-0015|Каин, ЭЗЭНд хандаж —Миний шийтгэл хэрээс минь хэтэрсэн хүнд ажээ.|Каин, ЭЗЭНд хандаж —Миний шийтгэл хэрээс минь хэтэрсэн хүнд ажээ.
MB104-0016|Та өнөөдөр намайг газрын хөрснөөс зайлуулж байгаа учир би Таны оршихуйгаас далд орж, газар дэлхийд зайгуул тэнүүлч болно.|Та өнөөдөр намайг газрын хөрснөөс зайлуулж байгаа учир би Таны оршихуйгаас далд орж, газар дэлхийд зайгуул тэнүүлч болно.
MB104-0017|Надтай уулзсан хэн боловч намайг ална гэжээ.|Надтай уулзсан хэн боловч намайг ална гэжээ.
MB104-0018|Каин ЭЗЭНий оршихуйгаас гарч, Едений зүүн талд орших Нод гэдэг газарт нутаглан суух болжээ.|Каин ЭЗЭНий оршихуйгаас гарч, Едений зүүн талд орших Нод гэдэг газарт нутаглан суух болжээ.
MB104-0019|Каин эхнэртэйгээ унтаж, эхнэр нь жирэмслэн Енохыг төрүүлэв.|Каин эхнэртэйгээ унтаж, эхнэр нь жирэмслэн Енохыг төрүүлэв.
MB104-0020|Каин хот байгуулж, түүнийгээ хүүгийнхээ нэрээр Енох гэж нэрлэлээ.|Каин хот байгуулж, түүнийгээ хүүгийнхээ нэрээр Енох гэж нэрлэлээ.
